symbol,action,current_price,shares,position_value,position_pct,stop_loss,target_price,risk_dollars,risk_pct,prophet_accuracy,signal_confidence,signal_agreement,combined_confidence,confidence_label,rsi_signal,macd_signal,sma_signal
BMY,BUY,44.54,28,1247.12,12.81,42.72,45.43,50.86,0.51,70.71,HIGH,3/3,0.854,VERY HIGH,bullish,bullish,bullish
PG,BUY,151.62,8,1212.96,12.92,147.55,153.89,32.54,0.33,86.87,MEDIUM,2/3,0.718,HIGH,neutral,bullish,bullish
CAT,BUY,524.65,2,1049.3,12.46,494.18,532.52,60.94,0.61,81.82,MEDIUM,2/3,0.692,HIGH,bearish,bullish,bullish
BA,BUY,217.26,5,1086.3,12.37,207.46,220.52,49.02,0.49,80.81,MEDIUM,2/3,0.687,HIGH,neutral,bullish,bullish
PFE,SELL/SHORT,24.85,45,1118.25,11.25,25.92,24.48,48.09,0.48,79.8,MEDIUM,2/3,0.682,HIGH,bullish,bearish,bearish
UNH,SELL/SHORT,365.37,3,1096.11,11.01,384.17,359.89,56.4,0.56,76.77,MEDIUM,2/3,0.667,HIGH,bearish,bearish,bullish
ADBE,BUY,357.55,3,1072.65,10.92,339.67,362.91,53.63,0.54,75.76,MEDIUM,2/3,0.662,HIGH,neutral,bullish,bullish
